id,name,contact_info,expertise,experience,membership,style_approach,availability,created_at,updated_at
11,Emily Mcbride,"richarddavis@hotmail.com, 4559640779","['poor', 'strong']",22,realize,Page under unit not reveal.,"['Thursday', 'Monday']",2024-05-26T09:36:26.428173,2024-05-26T09:36:26.428182
12,Katherine Terrell,"lmedina@yahoo.com, 001-700-315-6584x60538","['prepare', 'opportunity']",30,maybe,True base pretty avoid wait.,"['Sunday', 'Saturday']",2024-05-26T09:36:26.429194,2024-05-26T09:36:26.429205
13,Deborah Miller,"paulamanda@taylor-sanders.biz, 406-158-3723x7084","['executive', 'view']",12,phone,Democrat picture weight he affect.,"['Monday', 'Sunday']",2024-05-26T09:36:26.430329,2024-05-26T09:36:26.430338
14,Gina Mason,"larryhaas@yahoo.com, 001-819-615-4477x561","['notice', 'interest']",6,main,Article even dog performance stuff.,"['Sunday', 'Friday']",2024-05-26T09:36:26.431260,2024-05-26T09:36:26.431267
15,Richard Brock,"pacestephen@yahoo.com, 589.518.4564x5592","['manager', 'institution']",12,hear,Situation while need.,"['Saturday', 'Monday']",2024-05-26T09:36:26.432280,2024-05-26T09:36:26.432289
16,Nicholas Diaz,"madeline82@gmail.com, 636.405.6229","['no', 'though']",19,third,Attorney chance follow reason interesting sea.,"['Wednesday', 'Tuesday']",2024-05-26T09:36:26.433145,2024-05-26T09:36:26.433155
17,Julie Miles,"qmcmahon@gmail.com, 811.518.7300","['certain', 'employee']",2,notice,North far floor establish loss value stop.,"['Monday', 'Tuesday']",2024-05-26T09:36:26.434158,2024-05-26T09:36:26.434167
18,Alisha Burch,"emily02@gmail.com, 109.807.9206","['happy', 'visit']",26,continue,Simple chance commercial situation magazine trip.,"['Friday', 'Sunday']",2024-05-26T09:36:26.435150,2024-05-26T09:36:26.435159
19,Patrick Fleming,"meganevans@farrell-harrell.com, 521.705.9276","['resource', 'cost']",23,away,Discussion campaign respond pay onto art.,"['Monday', 'Saturday']",2024-05-26T09:36:26.436900,2024-05-26T09:36:26.436910
20,Robert Edwards,"jeremiah86@hotmail.com, 7470491683","['learn', 'role']",28,long,Morning ahead push board woman already plant.,"['Thursday', 'Saturday']",2024-05-26T09:36:26.437825,2024-05-26T09:36:26.437834
21,Jennifer Nguyen,"bethanywright@gmail.com, 148.411.4597x395","['floor', 'size']",28,trial,If character person.,"['Thursday', 'Thursday']",2024-05-26T09:36:26.438997,2024-05-26T09:36:26.439005
22,Bobby Stafford,"briandavis@allen.com, (455)451-0369x2113","['seek', 'allow']",29,whom,Issue present effect try how cost threat improve.,"['Tuesday', 'Monday']",2024-05-26T09:36:26.441263,2024-05-26T09:36:26.441272
23,Fernando Williams,"njohnson@gmail.com, 058-944-1306x30338","['many', 'recently']",13,generation,Amount base grow manage deal knowledge.,"['Friday', 'Tuesday']",2024-05-26T09:36:26.442350,2024-05-26T09:36:26.442359
24,Rebecca Hendricks,"patrickhunter@gmail.com, (980)602-7077x3142","['among', 'reality']",1,knowledge,Myself hold may important.,"['Friday', 'Saturday']",2024-05-26T09:36:26.443523,2024-05-26T09:36:26.443531
25,Andrew Allen,"regina87@taylor.info, 001-819-110-8920x15947","['increase', 'always']",10,audience,International increase meeting type coach side with.,"['Tuesday', 'Friday']",2024-05-26T09:36:26.449513,2024-05-26T09:36:26.449524
26,Monica Campbell,"tbradshaw@cohen.net, 001-945-354-4899x388","['to', 'store']",2,six,Health operation option statement same.,"['Tuesday', 'Tuesday']",2024-05-26T09:36:26.451299,2024-05-26T09:36:26.451309
27,Jorge Daniels,"parkerlisa@barnett-campos.info, (409)547-4578","['rule', 'town']",17,than,Clear break large than owner television worker.,"['Monday', 'Wednesday']",2024-05-26T09:36:26.453341,2024-05-26T09:36:26.453350
28,Jennifer Allen,"yarmstrong@hotmail.com, 786.876.2978x217","['mention', 'country']",8,factor,Thousand able myself worker hotel third entire people.,"['Tuesday', 'Saturday']",2024-05-26T09:36:26.454407,2024-05-26T09:36:26.454416
29,Catherine Stephens,"nfrederick@yahoo.com, (197)804-3126x8445","['health', 'close']",13,single,Thousand people any them.,"['Friday', 'Wednesday']",2024-05-26T09:36:26.455482,2024-05-26T09:36:26.455491
30,Jason Woods,"schwartzsamantha@yahoo.com, 315-936-2007","['situation', 'usually']",20,site,Discussion lot discover.,"['Monday', 'Thursday']",2024-05-26T09:36:26.456789,2024-05-26T09:36:26.456798
31,Kelsey Ayala,"andrewspears@gmail.com, (444)563-4674x4160","['nature', 'any']",8,remain,Provide rate may mention senior its ok.,"['Friday', 'Friday']",2024-05-26T09:36:26.457959,2024-05-26T09:36:26.457968
32,Dr. Jason Dunn,"robyn06@sanchez.com, 186-198-4839x652","['occur', 'alone']",6,then,South trouble sister.,"['Wednesday', 'Saturday']",2024-05-26T09:36:26.459094,2024-05-26T09:36:26.459103
33,Beth Carr,"petersmark@yahoo.com, (820)203-7596x8875","['success', 'somebody']",13,tend,Several year notice building upon increase nor.,"['Friday', 'Thursday']",2024-05-26T09:36:26.460614,2024-05-26T09:36:26.460624
34,Virginia Rodriguez,"jimenezmaria@hotmail.com, +1-397-395-0819x15993","['page', 'foot']",21,after,Nice painting wear art society.,"['Wednesday', 'Friday']",2024-05-26T09:36:26.461898,2024-05-26T09:36:26.461907
35,Peter George,"uosborne@mcpherson.com, 001-723-616-9281","['future', 'maybe']",6,here,Research ability blue nor.,"['Wednesday', 'Sunday']",2024-05-26T09:36:26.464073,2024-05-26T09:36:26.464082
36,Rose Chan,"williamalexander@wright.com, (802)835-1227x40690","['morning', 'authority']",6,vote,Sign memory television suffer natural particularly above.,"['Wednesday', 'Friday']",2024-05-26T09:36:26.465656,2024-05-26T09:36:26.465665
37,Joseph Thompson,"austinelizabeth@hotmail.com, +1-901-058-6381x67919","['agency', 'together']",1,detail,Hundred economic two total charge bed hot same.,"['Tuesday', 'Saturday']",2024-05-26T09:36:26.467038,2024-05-26T09:36:26.467047
38,Sally Brady,"phensley@gmail.com, 0483227905","['vote', 'who']",14,base,Order suddenly miss discussion.,"['Wednesday', 'Monday']",2024-05-26T09:36:26.468073,2024-05-26T09:36:26.468082
39,Amanda Hall,"burkemarilyn@quinn.com, (097)187-9283","['think', 'us']",5,glass,Teacher mother everyone politics a.,"['Sunday', 'Wednesday']",2024-05-26T09:36:26.469569,2024-05-26T09:36:26.469581
40,Adrian Morse,"sara73@yahoo.com, 8818111255","['population', 'condition']",6,them,Become movie magazine big.,"['Monday', 'Saturday']",2024-05-26T09:36:26.470687,2024-05-26T09:36:26.470696
41,Billy Nunez,"pcollins@ramsey.com, 618.259.8304x8712","['site', 'spring']",29,story,Only yourself do wait ready eight.,"['Tuesday', 'Saturday']",2024-05-26T09:36:26.471591,2024-05-26T09:36:26.471597
42,Kenneth Parker,"hjones@hotmail.com, (662)858-4715x8756","['nothing', 'teach']",18,church,Explain run nothing.,"['Thursday', 'Thursday']",2024-05-26T09:36:26.472468,2024-05-26T09:36:26.472473
43,Ryan Hurley,"stacy68@yahoo.com, 001-982-363-5576x16198","['pick', 'than']",6,area,Knowledge network several business.,"['Tuesday', 'Tuesday']",2024-05-26T09:36:26.473008,2024-05-26T09:36:26.473014
44,Richard Chambers,"destinyhays@hotmail.com, +1-663-920-2976x7901","['find', 'article']",26,hair,Truth explain claim board enjoy raise.,"['Tuesday', 'Friday']",2024-05-26T09:36:26.473869,2024-05-26T09:36:26.473877
45,Victor Harris,"melissa66@gmail.com, (898)818-7989","['certain', 'place']",4,fill,By report get daughter analysis use Mr say.,"['Saturday', 'Thursday']",2024-05-26T09:36:26.474517,2024-05-26T09:36:26.474523
46,Cody Sandoval,"tuckerbrandi@alvarado.com, 001-298-634-6272x922","['even', 'environmental']",10,relate,Rest blue could others adult.,"['Thursday', 'Friday']",2024-05-26T09:36:26.476165,2024-05-26T09:36:26.476173
47,Jaime Grant,"kmeadows@greer.biz, 001-265-145-7103x342","['purpose', 'wrong']",18,good,Process station total less mother task never.,"['Tuesday', 'Tuesday']",2024-05-26T09:36:26.477430,2024-05-26T09:36:26.477439
48,Jermaine Scott,"bhamilton@hotmail.com, +1-119-908-4452x76517","['skill', 'gun']",9,which,Hour behind also.,"['Friday', 'Thursday']",2024-05-26T09:36:26.478242,2024-05-26T09:36:26.478248
49,Leslie Leonard,"hogannathan@welch.com, 368-267-4782x470","['want', 'happen']",6,check,Management nearly remain in memory red claim.,"['Tuesday', 'Monday']",2024-05-26T09:36:26.479492,2024-05-26T09:36:26.479498
50,Cheryl Hughes,"fgalvan@moore.net, 781.021.8934x6195","['shoulder', 'power']",3,money,Resource born rock history lead sound stuff.,"['Thursday', 'Saturday']",2024-05-26T09:36:26.480433,2024-05-26T09:36:26.480439
