id,name,contact_info,expertise,membership,experience,style_approach,availability,created_at,updated_at
57,Kunal Ramnah,christyarmstrong@yahoo.com,"Civil and Commercial Mediation, Real Estate and Construction, Financial, work place and Contractual DisputesLanguagesEnglish, French, Creole (Mauritian)",Civil and Commercial MediationADR Group2016,"Step Ahead Property Ltd- Consultant- Administrative, Marketing, Financial strategy & Planning-2013 to 2015","The most important people at mediation are the clients and I believe that while the mediator may have to ask difficult questions, it is important that the clients feel comfortable and that they can trust the mediator. Listening to the client and directing them rather than advising is an important part of a mediation. Being relaxed and approachable enables one to gain the trust and confidence of the client which in turn makes it easier to focus on the client’s wider interests while offering them new perspectives.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.434634,2024-05-26T09:44:17.434642
58,Laraib Awan,ecordova@gmail.com,Profession/s Attorney at LawAreas of expertise Specialising in Civil and Commercial MediationQualified ArbitratorOnline Dispute Resolution Specialist (including Negotiations) Country of Practice PakistanUnited Kingdom (remote)LanguagesEnglish Urdu/ HindiPunjabi,Profession/s Attorney at LawAreas of expertise Specialising in Civil and Commercial MediationQualified ArbitratorOnline Dispute Resolution Specialist (including Negotiations) Country of Practice PakistanUnited Kingdom (remote)LanguagesEnglish Urdu/ HindiPunjabi,Legal Intern | M. M. Aqil Awan & Co. (Pakistan)September 2020- January 2021Junior Legal Associate | M. M. Aqil Awan & Co. (Pakistan)February 2021- August 2022 ,"Creating a safe and nurturing environment for disputing parties to discuss their issues and reach an amicable solution that benefits all parties involved, while still maintaining their professional integrity and helping the preserve their relationship, is my approach towards mediation. This will often involve assessing the dispute from each parties point of view and discussing the strengths and weaknesses of any solutions they present while pushing both parties to a solution that they agree with.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.435406,2024-05-26T09:44:17.435414
59,Lavalina D Sawmy,xhudson@hotmail.com,"Civil-Commercial MediationLanguagesEnglish, French, Creole and Hindi",Practising Barrister-at-Law at the Chambers of Sir Hamid Moollan QC (January 2021 – Present) in Mauritius.,Practising Barrister-at-Law at the Chambers of Sir Hamid Moollan QC (January 2021 – Present) in Mauritius.,The key is clearly to connect with the Clients by understanding their needs and acting accordingly all whilst bearing in mind that as a Mediator you are to abide by certain rules regardless of what the clients’/parties’ demands are. You have to look at the best solution for both parties so that they feel that progress was made in the current forum. The parties need to feel comfortable and also be sure that they in good hands. Impartiality is key as this is a forum that might avoid a Court Case altogether. My style or approach in summary would be to: Embrace an ethical as well as a realistic/practical approach and keeping the discussion focused on the issue at hand. The parties must always feel confident in their mediator and not feel prejudiced against at all. ,"[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.436229,2024-05-26T09:44:17.436237
60,Lina Malone,ortegadonna@lewis-bean.com,Accredited Civil and Commercial MediatorLanguagesNorwegian English,"ADR ODR Internatinal Panel Membership - March, 2019","I am a law student at BPP University, having previously undertaken a vacation scheme at Norway’s largest firm’s offices in Shanghai, China, in 2017. There, I gained experience assisting with shipping disputes and M&A. Additionally, I lead a project for Doctors Without Borders in Papua New Guinea to analyse and report the salaries and livelihoods of their local employees in 2018. ","Accepting work experience in new and challenging environments allowed me to develop a keen ability to appreciate and adjust to cultures. My most recent work crucially shows my capacity to act as an impartial party. Analysing salaries of local employees in a mission-country for Doctors Without Borders required a non-judgmental, third-party observer to provide neutral reports on employee conditions. Parties to mediation require a non-biased and neutral forum to attempt to solve their dispute, with the assurance that their mediator provides understanding and skill to adapt to niche challenges. I will happily aid parties’ discussion in exactly this fashion. ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.438008,2024-05-26T09:44:17.438018
61,Lubnaa Dulloo,crystalsullivan@yahoo.com,None,"Profession/s AOI International Accredited Civil/Commercial MediatorAOI International Online Dispute Resolution SpecialistAreas of expertise Civil and Commercial disputes resolution Country of Practice MauritiusLanguagesEnglish, French, Creole",None,"I am a trustworthy person with a pleasant personality. During private sessions in the mediation process, I am a patient listener to what the parties have to say concerning their emotions, the dispute, their concerns and their relationship with the other parties. The most important thing is that I want the parties to trust me and this will help me in guiding them to reach a deal. I encourage parties to feel at ease during the process and trust the process. My ultimate goal at the end of a mediation process is for the parties to reach a settlement which is satisfactory to all of them. ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.439014,2024-05-26T09:44:17.439024
62,Lucy Adams,cohensarah@hotmail.com,"Profession/s Family Mediator- children and financial issues.Also a Family Law Solicitor – practicing as a senior solicitor for over 15 years.Areas of expertise Lucy is both a family solicitor and trained family mediator.Lucy is renowned for her expertise in both financial matters and child law.Lucy has obtained the Law Society Advanced Accreditation in complex financialsettlement and children cases. Lucy is also a Member of Resolution and committed tothe constructive resolution of family disputes.With over 15 years’ experience in family law, Lucy can support clients with theresolution of their divorce and on related financial issues including pensions,businesses, and pre-acquired marital wealth. She also supports co-habiting couples,who need help to resolve a dispute following their separation.As a trained family Mediator, Lucy can offer a bespoke mediation service to assist inany children or financial disputes. The sessions can either be remote or face to face atone of our 23 national office locations in the UK. Mediation is a means of resolvingdisputes in an amicable, non-confrontational manner that meets the needs of bothparticipants. Mediation can often be a quicker, more amicable, and less stressfulprocess than the more traditional route at resolving disputes, such as going to court.Lucy is registered with the Family Mediation Association.With extensive experience in child arrangement related matters in family disputes, Lucysupports on issues such as residence, contact, prohibited steps, specific issue ordersand leave to remove cases.She has worked on complex cases including those with an international dimension andlocal authority involvement.Examples of how Lucy has supported clients include:Mediated in a case which led to a shared care order in relation to the time spentby a father with his children, in a case involving parental alienation by the mother.Mediated in a case involving a proposed move to take a child out of thejurisdiction to live abroad; andMediated in a case involving complex financial issues involving pensions andsignificant pre-acquired marital wealth.Country of Practice UKLanguagesEnglish","Profession/s Family Mediator- children and financial issues.Also a Family Law Solicitor – practicing as a senior solicitor for over 15 years.Areas of expertise Lucy is both a family solicitor and trained family mediator.Lucy is renowned for her expertise in both financial matters and child law.Lucy has obtained the Law Society Advanced Accreditation in complex financialsettlement and children cases. Lucy is also a Member of Resolution and committed tothe constructive resolution of family disputes.With over 15 years’ experience in family law, Lucy can support clients with theresolution of their divorce and on related financial issues including pensions,businesses, and pre-acquired marital wealth. She also supports co-habiting couples,who need help to resolve a dispute following their separation.As a trained family Mediator, Lucy can offer a bespoke mediation service to assist inany children or financial disputes. The sessions can either be remote or face to face atone of our 23 national office locations in the UK. Mediation is a means of resolvingdisputes in an amicable, non-confrontational manner that meets the needs of bothparticipants. Mediation can often be a quicker, more amicable, and less stressfulprocess than the more traditional route at resolving disputes, such as going to court.Lucy is registered with the Family Mediation Association.With extensive experience in child arrangement related matters in family disputes, Lucysupports on issues such as residence, contact, prohibited steps, specific issue ordersand leave to remove cases.She has worked on complex cases including those with an international dimension andlocal authority involvement.Examples of how Lucy has supported clients include:Mediated in a case which led to a shared care order in relation to the time spentby a father with his children, in a case involving parental alienation by the mother.Mediated in a case involving a proposed move to take a child out of thejurisdiction to live abroad; andMediated in a case involving complex financial issues involving pensions andsignificant pre-acquired marital wealth.Country of Practice UKLanguagesEnglish",Previous employers- Archers Law and Knights Plc from 2007 to dateResponsibilities relating to mediation- trainee Mediator.Senior Family solicitor- practicing for over 15 years,Lucy is very personable and is renowned for her expertise in both complex financialmatters and child law. Lucy has practiced in family law for over 15 years and has vastexperience representing clients.Lucy has obtained the Law Society Advanced Accreditation in complex financialsettlement and children cases. Lucy is also a Member of Resolution and committed tothe constructive resolution of family disputes.,"[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.439708,2024-05-26T09:44:17.439716
63,Madu Onwudike,ydavis@scott.com,"  Consultant Vascular Surgeon  Unregistered Barrister   Healthcare mediation for the NHS and Independent sectors  Clinical negligence  Personal Injury Claims  Employment and workplace disputes  Professional negligence, misconduct and performance issues   Country of Practice   United Kingdom   Languages  English    ",ADR ODR International Accredited Civil and Commercial Mediator - 2018,"Brings a deep understanding of professional healthcare issues gained from more than 20 years practice as a consultant surgeon in both the NHS and independent sectors. Possesses profound insight and expertise in healthcare-related matters including medico-legal claims, conduct and performance issues, employment and workplace disputes, professional and clinical negligence claims. ", A good listener who is calm and empathetic but does not hesitate to challenge the parties when necessary.  ,"[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.440945,2024-05-26T09:44:17.440957
64,Mahek Virani,antoniohuff@miller.com,"Profession/s Commercial MediatorFounder of ADR Specialists NetworkAreas of expertise Contracts, Negotiations, Communication, etc. Online Dispute ResolutionTraining/CoachingCountry of Practice USALanguagesEnglish, Hindi/Urdu","Training Conducted Online Mediation Basics Training for Fair Practice, Johannesburg, SA  Mediation Training in Mombasa, Kenya (certified by International Social Service Switzerland) 2019 Conflict and Culture. The Need for Greater Cross-Cultural Literacy in Mediation (2019) Berlin, Germany MiKK e.V.Relevant Experience Business Developmento Negotiated real estate deals totaling over 7 figureso Propelled bottom line revenues by 50% International Businesso Negotiated multiple 6 figure deals Project Managemento Created effective communication systemso Implemented conflict management processes","Training Conducted Online Mediation Basics Training for Fair Practice, Johannesburg, SA  Mediation Training in Mombasa, Kenya (certified by International Social Service Switzerland) 2019 Conflict and Culture. The Need for Greater Cross-Cultural Literacy in Mediation (2019) Berlin, Germany MiKK e.V.Relevant Experience Business Developmento Negotiated real estate deals totaling over 7 figureso Propelled bottom line revenues by 50% International Businesso Negotiated multiple 6 figure deals Project Managemento Created effective communication systemso Implemented conflict management processes","Facilitative Mediation. My job is to serve my clients. They come to me when their life gets difficult, and they have to face uncomfortable conversations. I create a safe space for difficult conversations. ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.442161,2024-05-26T09:44:17.442169
65,Manpreet Kaur Bhasin,sarah03@hotmail.com,"I am a practicing lawyer at the High Court of Delhi in India since the year 2002. I started my career with a law firm in Delhi, practicing in the field of Intellectual Property, Civil Laws, Service Laws, Commercial Laws, Family Laws, Sports Law & Education Laws.  During my practice in the various courts of Delhi, I have been a part of several court directed mediations in order to enable the parties to reach an amicable dispute resolution.","Areas of expertise Family Law, Contracts & Agreements,Property, Wills,Intellectual Property. Country of Practice IndiaLanguagesEnglish (Fluent)Hindi (Fluent)Punjabi (Fluent)","I am a practicing lawyer at the High Court of Delhi in India since the year 2002. I started my career with a law firm in Delhi, practicing in the field of Intellectual Property, Civil Laws, Service Laws, Commercial Laws, Family Laws, Sports Law & Education Laws.  During my practice in the various courts of Delhi, I have been a part of several court directed mediations in order to enable the parties to reach an amicable dispute resolution.","Each one of us face difficult times in our lives but none of us want to struggle with these problems for long. Mediation is an effective tool to put an end to our problems gracefully without facing fierce legal battles stretched over several years. Moreover, litigation between parties entails a lot of costs and more importantly it wastes a lot of precious time of the parties. Litigation has a long route and keeping this in mind even our Hon’ble Courts are supporting and encouraging settlement of cases through mediation as far as possible.Mediation facilitates settlement of disputes by giving space to the parties in which they can reflect upon themselves and their differences in an altogether different manner. The Mediator initiates fresh round of discussion and dialogue between parties which usually they are not able to do without the presence of third neutral party. Mediation acts as a mirror for its clients where parties can reflect upon themselves and think deeply to figure out possible solutions to their problems. As a Mediator, I have worked with parties that are not able to talk without the presence of a third party. In such situations, I may structure the conversation, ask such questions that are intended to create focus, clarify differences, standpoints and interests, and shift the perspective of the parties towards each other. In the process of mediation, communication amongst the parties is challenging and may take an aggressive form but as a Mediator, I stand between the parties, filtering, their words and actions. As a Mediator, I acknowledge the feelings of the parties, their thoughts, their discomfort and inhibitions. But despite all this, I strive to create a conducive environment to continue and conclude their talks.  ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.442861,2024-05-26T09:44:17.442868
66,??Michael Chan,johnsonangela@stone-kirby.info,"Profession/s Actuary, FSAAreas of expertise Civil/CommercialCountry of Practice United Kingdom, Hong Kong, SingaporeLanguagesEnglish, Chinese (Cantonese), Chinese (Mandarin)","Profession/s Actuary, FSAAreas of expertise Civil/CommercialCountry of Practice United Kingdom, Hong Kong, SingaporeLanguagesEnglish, Chinese (Cantonese), Chinese (Mandarin)",I work as a qualified actuary providing actuarial services outside my mediator profession. ,"In my role as an actuary and mediator, I bring a unique approach in my mediation style. I see each dispute as a complex problem. However, I also emphasize connecting with individuals on a personal level, understanding their emotions. This combination of analytical mindset and empathetic understanding allows me to build trust with those I mediate for.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.444593,2024-05-26T09:44:17.444606
67,Michael Ruddick,angela38@howard-brown.org,"Michael’s area of expertise is currently in low-level civil disputes and has qualified as a Civil and Commercial mediator. Whilst not currently experienced, Michael is a professional and dedicated mediator who is willing to refund fees for clients who are not satisfied with the service they receive.LanguagesEnglish",ADR-ODR International Panel Mediator (2018 to present)Called to the Bar by Lincoln’s Inn in 2018,Court Advocate (LPC Law Solicitors - 2018 to present)Michael is an Advocate for LPC Law and as a result sees what happens when litigation is taken all the way to Court. As such he is acutely aware of the benefits of mediation and how it can be a powerful force for resolving disputes amicably. His personal style and dedication to reaching a resolution reflects this for his clients. ,"Michael espouses an easygoing mediation style which aims to invite everyone as an equal into the mediation. Michael aims to ask the questions needed to get to the heart of the matter, but ultimately wants to place control into the hands of the parties and guide where necessary. ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.445977,2024-05-26T09:44:17.445988
68,Michelle Dhyll,julia27@andrade.com,"Areas of expertise:Construction Dispute Resolution / Contractual Disputes / Landlord & Tenant Disputes / Divorce Dispute Resolution / General Dispute ResolutionCountry of Practice: United KingdomLanguagesEnglish (native), Italian (fluent)","Areas of expertise:Construction Dispute Resolution / Contractual Disputes / Landlord & Tenant Disputes / Divorce Dispute Resolution / General Dispute ResolutionCountry of Practice: United KingdomLanguagesEnglish (native), Italian (fluent)","With 14 years of working in the Construction sector, specialising in Mediation and the Contract Administration of JCT, NEC, Design & Build and Traditional forms of Contracts, Real Estate Disputes and Dispute Resolution in general areas, my expertise combines mediation skills which make for a structured, relaxed and result-based outcome, developed through two-party collaboration and a desire to resolve the issue at hand without the involvement of litigation.The knowledge, experience, and methods gained allow me to guide parties towards a mutually amicable resolution based on information provided by both parties regardless of dispute size.I have trained as a Barrister at the BPP University on the Barristers Training Course and possess the skill of impartial advocacy, which assists me in achieving the best outcome for all parties throughout all civil sectors.","My mediation style contains third-party impartiality, empathy, and a stress-free setting where your perspective will be fully heard, non-judgmentally. I understand and appreciate that the mediation process has followed a time of disagreement between the parties, and during my sessions, I will provide an environment that facilitates an open and honest discussion, which concludes with both parties agreeing to a mutually beneficial resolution. ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.447095,2024-05-26T09:44:17.447105
69,Moussa Mungur,petersonjesse@yahoo.com,"Civil/Commercial Disputes, Consumer Disputes and ODR specialistLanguagesEnglish, French, Creole",Accredited ADR ODR International Civil/Commercial Mediator ,Upper Second Class Honours in Law from Middlesex University in 2018Bar Professional Training Course (BPTC) in 2019 ,"Being from a multi-cultural country where different languages are spoken every day, having the freedom of speech and to practice my religion freely and in harmony with other religion, I believe this enables me to build trust and rapport with parties as they can relate to these values. Although my demeanor during a will be profession, am very open to new cultures and I can and will be very friendly, flexible and accessible and mostly importantly impartial. Indeed, Mediation can and will be challenging sometimes, physically, mentally, emotionally or psychologically, I believe that effective communication in a neutral but friendly atmosphere, facilitates things and make things move at a faster rate, and hopefully to settle. I am able to accommodate parties on weekends and evenings no matter if the parties are from different places across the globe.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.448201,2024-05-26T09:44:17.448211
70,Mostafizur Rahman,whitelogan@bernard.com, Civil/Commercial Mediator  Contractual disputes and corporate matters     Country of Practice  Bangladesh  The United Kingdom   Languages  English  Bengali   ,"ADR ODR Accredited Civil/Commercial MediatorADR ODR International2020Online Dispute ResolutionADR ODR International2020Member of The Honourable Society of Lincoln’s Inn 2017Co-founder at Legal Genesis, an organization to build platform for developing oratory skills2015",Associate at Iqbal & Roy 2017Internship at Sattar&Co. 2016Director of Operations at Legal Genesis 2015, I prefer the facilitative approach and my aim is simple. I wish to assist the disputing parties to figure out the opportunity that will break through their disputes.   I wish to create a bridge where participants can come together and share their concerns and views points expressly.    I will create an environment where disputing parties can agree to an offer of settlement which will render mutual benefits for both resulting a better understanding positions and future working relationships amongst themselves. ,"[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.450368,2024-05-26T09:44:17.450380
71,Mridula Chooromoney,megan49@yahoo.com,"Commercial Mediator & Arbitrator (Malaysia Institute of Arbitrators)LanguagesEnglish, French, Creole",Which mediation qualifications they have Accredited Commercial Mediator from ADR-ODR International. Year qualified 2017,Intern at I-Contract Solutions May 2014Intern at the Kuala Lumpur Regional Centre for Arbitration- June 2014Kwan & Associates Law Firm 2016- till date.,Listening and paying attention to what the client wants and helping them to reality test is key. Looking at a best win/win situation for both parties . Being focused on bringing a better quality of life for clients such that they feel comfortable and in good & trustworthy hands. Adopting a Principled yet reasonable approach to the issue. Separating the People from the problem is a forte.,"[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.451229,2024-05-26T09:44:17.451240
72,Muazu Abdul-mu-umin,stacy49@hotmail.com,"All Civil-Commercial disputes, especially cross boarder or cross cultural Civil-Commercial disputes.LanguagesEnglish, Hausa, Mampruli, Arabic (basic) and Mossi. ",Online Dispute Resolution (2018)ADR ODR International Accredited Civil/Commercial Mediatos Course (2018)ADR ODR International,"Transport and Logistics Specialist D - Her Majesty Armed Forces, UK (2009 - 2014)Sakogu Area Council Chairman Sakogu - Gambia, Ghana (2006 - 2008)LLB (Hons) Anglia Ruskin Univeristy, Cambridge, 2017Managing Director, IBN J Enterprise, Ghana",Muazu utilises the facilitative model of mediation. He is a master at making the right condition for the parties to settle on their own choices without feeling under strain to do as such. His exceptional linguistic and social information furnishes him with the capacity to mediate between parties who may not speak similar dialect or comprehend the same social standards.,"[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.452174,2024-05-26T09:44:17.452186
73,Myriam El Kara,kevin27@cobb-khan.com," Profession/s  Head of Supply Chain, Verkor SA, Li-ion battery cell manufacturer   Areas of Expertise  Commercial, general  Commodities trading / Sale of goods  Metals & Mining  Energy  Environment  International Commercial  JV/ Shareholders’ agreements  Finance / Banking / Securities   Qualified arbitrator (Fellow CIArb) since August 2020   Country of Practice   No geographical restriction.   Languages  English, French, Arabic    ","ADR ODR International, SIMI Accredited Civil/Commercial Mediator, February 2020.","General Manager, energy products, Singapore, IndonesiaBusiness Developer, thermal coal, Singapore IndonesiaSenior Risk Management Consultant, banking, London, UKInvestment and Trading Associate, capital markets, Paris, FranceIn-house Counsel, capital markets, Paris, FranceMyriam is a qualified ADR ODR International Accredited Civil and Commercial Mediator and a Fellow of the Chartered Institute ofArbitrators following an intensive training in international arbitration practice, procedure and award writing. She has a dual academic background in law and business and has honed her skills through experience in the Middle East, Europe and Asia, in the industries of banking, finance, and commodities investment and trading. This gives Myriam a sound acumen in identifying issues, a rigorous approach to problem solving, and an analytical yet creative mind informed by market realities, and geographical and cultural specificities. ","A careful listener, Myriam believes in facilitative, pragmatic approach to mediating disputes. Aware that every person and situation is unique, her stylewill adapt to the needs of the parties and the case, while safeguarding process efficiency and an objective-driven focus to reach resolution.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.453968,2024-05-26T09:44:17.453980
74,Nazma Sayani,monicacombs@gmail.com,"Profession/s Senior Human Resources ProfessionalAreas of expertise Employee Relations, Conflict Resolution, Resolving Complex Interpersonal issuesCountry of Practice United KingdomLanguagesEnglish","Profession/s Senior Human Resources ProfessionalAreas of expertise Employee Relations, Conflict Resolution, Resolving Complex Interpersonal issuesCountry of Practice United KingdomLanguagesEnglish","As a Human Resources professional, my role is to help the organisations provide positive andengaging workplaces by navigating through the overall employee journey. This involvesfostering and promoting a culture which aligns with the company and individual values,implementing procedures and processes to attract and retain top talent, developing strategies toenhance employee engagement and satisfaction. Implementing programs that supportcontinuous learning and development, promoting employee well-being by implementinginitiatives that support work-life balance. My role is also to facilitate effective communicationchannels to ensure employees are well-informed and lead efforts to create diversity, equity andinclusivity. Being in Human Resources also involves acting as a mediator in employee relationsmatters, addressing conflict and ensuring a respectful workplace environment and finallyhandling employees offboarding process with sensitivity and professionalism.","As a senior HR professional turned Mediator, I am committed to helping organisations andindividuals navigate disputes and conflict with efficiency and fairness. I have a genuine desireto understand the root causes of conflict, facilitate open communications and guide partiestowards mutually beneficial resolutions.As an advocate for alternate dispute resolution, I am well versed in mediation techniques,negotiation strategies and conflict de-escalation. Known for my calm demeanor and patience, Ihave the ability to create a safe, confidential and neutral space for open dialogue.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.455125,2024-05-26T09:44:17.455137
